date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2015-04-07 04:30:00+02:00,The Flying V,Incursion,1013.0,1013.0,0.0,5,-5,1
2015-04-08 03:30:00+02:00,Fenix Fire,Incursion,1010.0,1008.0,2.0,5,-5,1
2015-04-09 19:00:00+02:00,Check6,Exploders,997.0,998.0,-1.0,-5,5,0
2015-04-11 05:45:00+02:00,Noxious Gaming.,Team Steelseries,992.0,992.0,0.0,8,-8,1
2015-04-11 11:45:00+02:00,Team VB Mate,Sneaky Assasins,994.0,997.0,-3.0,8,-8,1
2015-04-15 04:00:00+02:00,Fenix Fire,SYNRGY Gaming,1027.0,968.0,59.0,10,-10,1
2015-04-17 17:15:00+02:00,USSR,teamswagyolo,908.0,1004.0,-96.0,10,-16,1
2015-04-17 18:00:00+02:00,All-Stars North America,All-Stars Europe,1000.0,1000.0,0.0,0,0,0
2015-04-17 23:30:00+02:00,WEPLAY,GGWP,983.0,946.0,37.0,-14,14,0
2015-04-18 00:45:00+02:00,ACES,GGWP,867.0,960.0,-93.0,-6,9,0
2015-04-18 12:00:00+02:00,teamswagyolo,WEPLAY,988.0,969.0,19.0,17,-17,1
2015-04-18 21:00:00+02:00,GGWP,teamswagyolo,957.0,1005.0,-48.0,-15,15,0
2015-04-19 09:00:00+02:00,ACES,USSR,876.0,913.0,-37.0,12,-12,1
2015-04-19 11:00:00+02:00,ACES,teamswagyolo,888.0,1020.0,-132.0,14,-24,1
2015-04-23 18:00:00+02:00,USSR,Check6,901.0,992.0,-91.0,4,-6,1
2015-04-27 20:30:00+02:00,Bad Monkey Gaming Female,3DMAX Female,1031.0,1049.0,-18.0,5,-5,1
2015-05-03 16:00:00+02:00,Divine,Exploders,989.0,998.0,-9.0,-5,5,0
2015-05-07 18:00:00+02:00,l4nd0dg3,ACES,990.0,894.0,96.0,-6,4,0
2015-05-07 21:45:00+02:00,l4nd0dg3,Moscow 5,984.0,988.0,-4.0,5,-5,1
2015-05-14 19:00:00+02:00,New Era.,ACES,1000.0,898.0,102.0,-6,4,0
2015-05-14 21:00:00+02:00,7sway,USSR,1000.0,905.0,95.0,-6,4,0
2015-05-23 00:00:00+02:00,pashaBiceps,olofmeister,1000.0,1000.0,0.0,0,0,0
2015-05-23 16:45:00+02:00,USSR,ACES,906.0,899.0,7.0,4,-4,1
2015-05-31 12:15:00+02:00,Exertus,Team Acer.,1000.0,1033.0,-33.0,-27,27,0
